gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,costat,ggroup,gind,gsector,gsubind
019520,20211231,2021,INDL,C,D,STD,SHYD,VANECK SHRT HIGH YD MUNI ETF,USD,,A,,,,
019526,20211231,2021,INDL,C,D,STD,FPI,FARMLAND PARTNERS INC,USD,1121.5250,A,6010,601010,60,60101080
019534,20211231,2021,INDL,C,D,STD,CNCE,CONCERT PHARMACEUTICLS INC,USD,165.3160,A,3520,352010,35,35201010
019542,20211231,2021,INDL,C,D,STD,HOLD,ADVISORSHARES SAGE CORE RSRV,USD,,A,,,,
019553,20211231,2021,INDL,C,D,STD,RCD.,RBC QUANT CDN DIV LEADRS ETF,CAD,,A,,,,
019554,20211231,2021,INDL,C,D,STD,RUD.,RBC QUANT US DIV LEADERS ETF,CAD,,A,,,,
019555,20211231,2021,INDL,C,D,STD,RID.,RBC QUANT EAFE DIV LEADERS,CAD,,A,,,,
019556,20211231,2021,INDL,C,D,STD,RBO.,RBC 1-5 YR LADDERED CORP BD,CAD,,A,,,,
019565,20211231,2021,INDL,C,D,STD,RIO,RIO TINTO GROUP,USD,102896.0000,A,1510,151040,15,15104020
019570,20211231,2021,INDL,C,D,STD,STBA,S & T BANCORP INC,USD,9488.5290,A,4010,401010,40,40101015
019570,20211231,2021,FS,C,D,STD,STBA,S & T BANCORP INC,USD,9488.5290,A,4010,401010,40,40101015
019574,20211231,2021,INDL,C,D,STD,GCI,GANNETT CO INC,USD,2828.0690,A,5020,502010,50,50201040
019581,20220131,2021,INDL,C,D,STD,LE,LANDS' END INC,USD,1036.6340,A,2550,255020,25,25502020
019582,20211231,2021,INDL,C,D,STD,CTRE,CARETRUST REIT INC,USD,1640.8480,A,6010,601010,60,60101050
019582,20211231,2021,FS,C,D,STD,CTRE,CARETRUST REIT INC,USD,1640.8480,A,6010,601010,60,60101050
019602,20211231,2021,INDL,C,D,STD,HEAR,TURTLE BEACH CORP,USD,230.5050,A,4520,452020,45,45202030
019622,20210630,2021,INDL,C,D,STD,XDSL,MPHASE TECHNOLOGIES INC,USD,21.0220,A,2010,201040,20,20104010
019636,20211231,2021,INDL,C,D,STD,VUSE,ETF SERIES VIDENT CORE US EQ,USD,,A,,,,
019638,20211231,2021,INDL,C,D,STD,EURL,DIREXION DAILY EUR BULL 3X,USD,,A,,,,
019647,20211231,2021,INDL,C,D,STD,LC,LENDINGCLUB CORP,USD,4900.3190,A,4020,402020,40,40202010
019649,20211231,2021,INDL,C,D,STD,SABR,SABRE CORP,USD,5291.3300,A,4510,451020,45,45102020
019660,20211231,2021,INDL,C,D,STD,LDUR,PIMCO ENHANCED LOW DUR ACTIV,USD,,A,,,,
019671,20211231,2021,INDL,C,D,STD,DBAW,XTRACKERS MSCI ALL WORLD EX,USD,,A,,,,
019696,20211231,2021,INDL,C,D,STD,UNIEF,UNI-SELECT INC,USD,1300.8170,A,2550,255010,25,25501010
019713,20211231,2021,INDL,C,D,STD,AUB,ATLANTIC UNION BANKSHRS CRP,USD,20064.7960,A,4010,401010,40,40101015
019713,20211231,2021,FS,C,D,STD,AUB,ATLANTIC UNION BANKSHRS CRP,USD,20064.7960,A,4010,401010,40,40101015
019717,20211231,2021,INDL,C,D,STD,NLTX,NEOLEUKIN THERAPEUTICS INC,USD,163.2630,A,3520,352010,35,35201010
019719,20211231,2021,INDL,C,D,STD,RESN,RESONANT INC,USD,28.3610,A,4520,452010,45,45201020
019730,20210630,2021,INDL,C,D,STD,PCTY,PAYLOCITY HOLDING CORP,USD,2414.8850,A,4510,451030,45,45103010
019734,20211231,2021,INDL,C,D,STD,USFR,WISDOMTREE FLO RATE TRE FUND,USD,,A,,,,
019735,20211231,2021,INDL,C,D,STD,HEWJ,ISHARES CURRENCY HG MSCI JPN,USD,,A,,,,
019740,20211231,2021,INDL,C,D,STD,HEWG,ISHARES CURRENCY HG MSCI GER,USD,,A,,,,
019743,20211231,2021,INDL,C,D,STD,HEFA,ISHARES CRRENCY HD MSCI EAFE,USD,,A,,,,
019744,20211231,2021,INDL,C,D,STD,JD,JD.COM INC,USD,78160.3560,A,2550,255020,25,25502020
019746,20211231,2021,INDL,C,D,STD,EUR.,FIRST TR ALPHADEX EUR DIV,CAD,,A,,,,
019747,20211231,2021,INDL,C,D,STD,QUOT,QUOTIENT TECHNOLOGY INC,USD,635.4800,A,2550,255020,25,25502020
019748,20211231,2021,INDL,C,D,STD,TFLO,ISHARES TREAS FLTG RATE BD,USD,,A,,,,
019752,20210630,2021,INDL,C,D,STD,ICMB,INVESTCORP CRDT MNGMT BDC,USD,267.6830,A,4020,402030,40,40203010
019753,20211231,2021,INDL,C,D,STD,MGNI,MAGNITE INC,USD,2712.6120,A,5020,502010,50,50201010
019784,20211231,2021,INDL,C,D,STD,EGRX,EAGLE PHARMACEUTICALS INC,USD,253.7320,A,3520,352010,35,35201010
019802,20211231,2021,INDL,C,D,STD,RMNI,RIMINI STREET INC,USD,391.2620,A,4510,451030,45,45103010
019805,20211231,2021,INDL,C,D,STD,ZEQ.,BMO MSCI EUR HI QUAL HDG CAN,CAD,,A,,,,
019808,20211231,2021,INDL,C,D,STD,ZSU.,BMO S-TERM US IG CORP BD HGD,CAD,,A,,,,
019809,20211231,2021,INDL,C,D,STD,ZEA.,BMO MSCI EAFE INDEX ETF,CAD,,A,,,,
019810,20211231,2021,INDL,C,D,STD,ZWH.,BMO US HIGH DIV COVERED CALL,CAD,,A,,,,
019811,20211231,2021,INDL,C,D,STD,ZFH.,BMO FLOATING RATE HI YLD ETF,CAD,,A,,,,
019812,20211231,2021,INDL,C,D,STD,ZBK.,BMO EQUAL WEIGHT US BKS INDX,CAD,,A,,,,
019813,20211231,2021,INDL,C,D,STD,ZDB.,BMO DISCOUNT BOND INDEX ETF,CAD,,A,,,,
019817,20211231,2021,INDL,C,D,STD,UVSP,UNIVEST FINANCIAL CORP,USD,7122.4210,A,4010,401010,40,40101015
019817,20211231,2021,FS,C,D,STD,UVSP,UNIVEST FINANCIAL CORP,USD,7122.4210,A,4010,401010,40,40101015
019833,20211231,2021,INDL,C,D,STD,RWC.,CI MSCI CDN LOW RISK WEIGHTD,CAD,,A,,,,
019834,20211231,2021,INDL,C,D,STD,RWW.,CI MSCI WLD LOW RISK WEIGHTD,CAD,,A,,,,
019851,20211231,2021,INDL,C,D,STD,CIO,CITY OFFICE REIT INC,USD,1601.5130,A,6010,601010,60,60101040
019855,20211231,2021,INDL,C,D,STD,IVT,INVENTRUST PROPERTIES CORP,USD,2212.4150,A,6010,601010,60,60101070
019858,20211231,2021,INDL,C,D,STD,VRTV,VERITIV CORP,USD,2438.4000,A,2010,201070,20,20107010
019859,20211231,2021,INDL,C,D,STD,AKBA,AKEBIA THERAPEUTICS INC,USD,525.5500,A,3520,352010,35,35201010
019873,20211231,2021,INDL,C,D,STD,WASH,WASHINGTON TR BANCORP INC,USD,5851.1270,A,4010,401010,40,40101015
019873,20211231,2021,FS,C,D,STD,WASH,WASHINGTON TR BANCORP INC,USD,5851.1270,A,4010,401010,40,40101015
019877,20211231,2021,INDL,C,D,STD,QTWO,Q2 HOLDINGS INC,USD,1385.0450,A,4510,451030,45,45103010
019881,20211231,2021,INDL,C,D,STD,TWOU,2U INC,USD,2109.0060,A,2530,253020,25,25302010
019884,20211231,2021,INDL,C,D,STD,IPKW,INVESCO INT BUYBACK ACHI ETF,USD,,A,,,,
019908,20211231,2021,INDL,C,D,STD,FIVN,FIVE9 INC,USD,1192.9420,A,4510,451030,45,45103010
